  Node:        X        Y        Z
          0.0000 101.6000   0.0000
******
 lambda       UX       UY       UZ
 0.0000   0.0000   0.0000   0.0000
 0.0500   0.0000  -3.7501   0.0000
 0.1000   0.0000  -6.9506   0.0000
 0.1500   0.0000  -9.7172   0.0000
 0.2000   0.0000 -12.1520   0.0000
 0.2500   0.0000 -14.3132   0.0000
 0.3000   0.0000 -16.2498   0.0000
 0.3500   0.0000 -17.9994   0.0000
 0.4000   0.0000 -19.5914   0.0000
 0.4500   0.0000 -21.0491   0.0000
 0.5000   0.0000 -22.3915   0.0000
 0.5500   0.0000 -23.6336   0.0000
 0.6000   0.0000 -24.7881   0.0000
 0.6500   0.0000 -25.8654   0.0000
 0.7000   0.0000 -26.8741   0.0000
 0.7500   0.0000 -27.8216   0.0000
 0.8000   0.0000 -28.7142   0.0000
 0.8500   0.0000 -29.5572   0.0000
 0.9000   0.0000 -30.3553   0.0000
 0.9500   0.0000 -31.1124   0.0000
 1.0000   0.0000 -31.8322   0.0000
------
  Node:        X        Y        Z
        101.6000 101.6000   0.0000
******
 lambda       UX       UY       UZ
 0.0000   0.0000   0.0000   0.0000
 0.0500  10.1600   0.0000   0.0000
 0.1000  20.3200   0.0000   0.0000
 0.1500  30.4800   0.0000   0.0000
 0.2000  40.6400   0.0000   0.0000
 0.2500  50.8000   0.0000   0.0000
 0.3000  60.9600   0.0000   0.0000
 0.3500  71.1200   0.0000   0.0000
 0.4000  81.2800   0.0000   0.0000
 0.4500  91.4400   0.0000   0.0000
 0.5000 101.6000   0.0000   0.0000
 0.5500 111.7600   0.0000   0.0000
 0.6000 121.9200   0.0000   0.0000
 0.6500 132.0800   0.0000   0.0000
 0.7000 142.2400   0.0000   0.0000
 0.7500 152.4000   0.0000   0.0000
 0.8000 162.5600   0.0000   0.0000
 0.8500 172.7200   0.0000   0.0000
 0.9000 182.8800   0.0000   0.0000
 0.9500 193.0400   0.0000   0.0000
 1.0000 203.2000   0.0000   0.0000
------
  Node:        X        Y        Z
          0.0000 101.6000   1.2700
******
 lambda       UX       UY       UZ
 0.0000   0.0000   0.0000   0.0000
 0.0500   0.0000  -3.7502  -0.0441
 0.1000   0.0000  -6.9506  -0.0844
 0.1500   0.0000  -9.7173  -0.1207
 0.2000   0.0000 -12.1521  -0.1534
 0.2500   0.0000 -14.3133  -0.1828
 0.3000   0.0000 -16.2499  -0.2094
 0.3500   0.0000 -17.9995  -0.2334
 0.4000   0.0000 -19.5915  -0.2552
 0.4500   0.0000 -21.0493  -0.2751
 0.5000   0.0000 -22.3916  -0.2933
 0.5500   0.0000 -23.6338  -0.3100
 0.6000   0.0000 -24.7883  -0.3255
 0.6500   0.0000 -25.8655  -0.3398
 0.7000   0.0000 -26.8742  -0.3531
 0.7500   0.0000 -27.8218  -0.3655
 0.8000   0.0000 -28.7143  -0.3771
 0.8500   0.0000 -29.5574  -0.3879
 0.9000   0.0000 -30.3554  -0.3981
 0.9500   0.0000 -31.1126  -0.4077
 1.0000   0.0000 -31.8324  -0.4168
------
  Node:        X        Y        Z
        101.6000 101.6000   1.2700
******
 lambda       UX       UY       UZ
 0.0000   0.0000   0.0000   0.0000
 0.0500  10.1600   0.0000  -0.1280
 0.1000  20.3200   0.0000  -0.2183
 0.1500  30.4800   0.0000  -0.2853
 0.2000  40.6400   0.0000  -0.3351
 0.2500  50.8000   0.0000  -0.3744
 0.3000  60.9600   0.0000  -0.4070
 0.3500  71.1200   0.0000  -0.4349
 0.4000  81.2800   0.0000  -0.4593
 0.4500  91.4400   0.0000  -0.4812
 0.5000 101.6000   0.0000  -0.5012
 0.5500 111.7600   0.0000  -0.5196
 0.6000 121.9200   0.0000  -0.5368
 0.6500 132.0800   0.0000  -0.5528
 0.7000 142.2400   0.0000  -0.5680
 0.7500 152.4000   0.0000  -0.5824
 0.8000 162.5600   0.0000  -0.5960
 0.8500 172.7200   0.0000  -0.6090
 0.9000 182.8800   0.0000  -0.6214
 0.9500 193.0400   0.0000  -0.6332
 1.0000 203.2000   0.0000  -0.6445
