Path along y-axis
     Tx      Ty      Tz     Txy     Tyz     Txz  TMises    TInt
 1.7763  0.0191  0.0000  0.0000  0.0000 -0.0000  1.7668  1.7763
 1.7762  0.0191  0.0000  0.0000 -0.0000 -0.0000  1.7668  1.7762
 1.7762  0.0190  0.0000  0.0001 -0.0000 -0.0000  1.7668  1.7762
 1.7762  0.0190  0.0000  0.0001 -0.0000 -0.0000  1.7668  1.7762
 1.7761  0.0190  0.0000  0.0001 -0.0000 -0.0000  1.7667  1.7761
 1.7760  0.0189  0.0000  0.0001 -0.0000 -0.0000  1.7667  1.7760
 1.7759  0.0188  0.0000  0.0002 -0.0000 -0.0000  1.7666  1.7759
 1.7758  0.0188  0.0000  0.0002 -0.0000 -0.0000  1.7665  1.7758
 1.7757  0.0187  0.0000  0.0002 -0.0000 -0.0000  1.7664  1.7757
 1.7756  0.0186  0.0000  0.0002 -0.0000 -0.0000  1.7663  1.7756
 1.7754  0.0185  0.0000  0.0003 -0.0000 -0.0000  1.7662  1.7754
 1.7752  0.0183  0.0000  0.0003 -0.0000 -0.0000  1.7661  1.7752
 1.7750  0.0182  0.0000  0.0003 -0.0000 -0.0000  1.7660  1.7750
 1.7748  0.0180  0.0000  0.0003 -0.0000 -0.0000  1.7658  1.7748
 1.7746  0.0179  0.0000  0.0004 -0.0000 -0.0000  1.7657  1.7746
 1.7743  0.0177  0.0000  0.0004 -0.0000 -0.0000  1.7655  1.7743
 1.7740  0.0175  0.0000  0.0004 -0.0000 -0.0000  1.7653  1.7740
 1.7737  0.0173  0.0000  0.0004 -0.0000 -0.0000  1.7651  1.7737
 1.7734  0.0171  0.0000  0.0005 -0.0000 -0.0000  1.7649  1.7734
 1.7731  0.0169  0.0000  0.0005 -0.0000 -0.0000  1.7647  1.7731
 1.7728  0.0167  0.0000  0.0005 -0.0000 -0.0000  1.7645  1.7728
 1.7724  0.0164  0.0000  0.0005 -0.0000 -0.0000  1.7642  1.7724
 1.7720  0.0162  0.0000  0.0006 -0.0000 -0.0000  1.7640  1.7720
 1.7716  0.0159  0.0000  0.0006 -0.0000 -0.0000  1.7637  1.7716
 1.7712  0.0157  0.0000  0.0006 -0.0000 -0.0000  1.7634  1.7712
 1.7708  0.0154  0.0000  0.0006 -0.0000 -0.0000  1.7631  1.7708
 1.7703  0.0151  0.0000  0.0006 -0.0000 -0.0000  1.7628  1.7703
 1.7698  0.0148  0.0000  0.0007 -0.0000 -0.0000  1.7625  1.7698
 1.7693  0.0145  0.0000  0.0007 -0.0000 -0.0000  1.7621  1.7693
 1.7688  0.0142  0.0000  0.0007 -0.0000 -0.0000  1.7618  1.7688
 1.7683  0.0139  0.0000  0.0007 -0.0000 -0.0000  1.7614  1.7683
 1.7677  0.0135  0.0000  0.0007 -0.0000 -0.0000  1.7610  1.7677
 1.7672  0.0132  0.0000  0.0008 -0.0000 -0.0000  1.7606  1.7672
 1.7666  0.0129  0.0000  0.0008 -0.0000 -0.0000  1.7602  1.7666
 1.7660  0.0125  0.0000  0.0008 -0.0000 -0.0000  1.7598  1.7660
 1.7654  0.0122  0.0000  0.0008 -0.0000 -0.0000  1.7593  1.7654
 1.7647  0.0118  0.0000  0.0008 -0.0000 -0.0000  1.7589  1.7647
 1.7641  0.0114  0.0000  0.0008 -0.0000 -0.0000  1.7584  1.7641
 1.7634  0.0111  0.0000  0.0008 -0.0000 -0.0000  1.7579  1.7634
 1.7627  0.0107  0.0000  0.0009 -0.0000 -0.0000  1.7574  1.7627
 1.7620  0.0103  0.0000  0.0009 -0.0000 -0.0000  1.7569  1.7620
 1.7613  0.0099  0.0000  0.0009 -0.0000 -0.0000  1.7564  1.7613
 1.7606  0.0095  0.0000  0.0009 -0.0000 -0.0000  1.7559  1.7606
 1.7599  0.0091  0.0000  0.0009 -0.0000 -0.0000  1.7553  1.7599
 1.7591  0.0087  0.0000  0.0009 -0.0000 -0.0000  1.7548  1.7591
 1.7583  0.0083  0.0000  0.0009 -0.0000 -0.0000  1.7542  1.7583
 1.7576  0.0079  0.0000  0.0009 -0.0000 -0.0000  1.7536  1.7576
 1.7568  0.0075  0.0000  0.0009 -0.0000 -0.0000  1.7531  1.7568
 1.7560  0.0070  0.0000  0.0010 -0.0000 -0.0000  1.7525  1.7560
 1.7552  0.0066  0.0000  0.0010 -0.0000 -0.0000  1.7519  1.7552
 1.7544  0.0062  0.0000  0.0010 -0.0000 -0.0000  1.7513  1.7544
 1.7536  0.0058  0.0000  0.0010 -0.0000 -0.0000  1.7507  1.7536
 1.7528  0.0053  0.0000  0.0010 -0.0000 -0.0000  1.7501  1.7528
 1.7520  0.0049  0.0000  0.0010 -0.0000 -0.0000  1.7496  1.7520
 1.7512  0.0045  0.0000  0.0010 -0.0000 -0.0000  1.7490  1.7512
 1.7504  0.0040  0.0000  0.0010 -0.0000 -0.0000  1.7484  1.7504
 1.7496  0.0036  0.0000  0.0010 -0.0000 -0.0000  1.7478  1.7496
 1.7488  0.0031  0.0000  0.0010 -0.0000 -0.0000  1.7472  1.7488
 1.7480  0.0027  0.0000  0.0010 -0.0000 -0.0000  1.7467  1.7480
 1.7472  0.0022  0.0000  0.0010 -0.0000 -0.0000  1.7461  1.7472
