Path along x-axis
     Tx      Ty      Tz     Txy     Tyz     Txz  TMises    TInt
 1.7763  0.0191  0.0000  0.0000  0.0000 -0.0000  1.7668  1.7763
 1.7762  0.0191  0.0000  0.0000  0.0000 -0.0000  1.7668  1.7762
 1.7762  0.0192  0.0000  0.0000  0.0000 -0.0000  1.7667  1.7762
 1.7761  0.0194  0.0000  0.0000  0.0000 -0.0000  1.7665  1.7761
 1.7760  0.0196  0.0000  0.0000  0.0000 -0.0000  1.7663  1.7760
 1.7759  0.0199  0.0000  0.0001  0.0000 -0.0000  1.7661  1.7759
 1.7758  0.0202  0.0000  0.0001  0.0000 -0.0000  1.7657  1.7758
 1.7756  0.0206  0.0000  0.0001  0.0000 -0.0000  1.7654  1.7756
 1.7754  0.0211  0.0000  0.0001  0.0000 -0.0001  1.7649  1.7754
 1.7751  0.0217  0.0000  0.0001  0.0000 -0.0001  1.7644  1.7751
 1.7748  0.0223  0.0000  0.0001  0.0000 -0.0001  1.7638  1.7748
 1.7745  0.0230  0.0000  0.0001  0.0000 -0.0001  1.7631  1.7745
 1.7742  0.0237  0.0000  0.0001  0.0000 -0.0001  1.7624  1.7742
 1.7738  0.0246  0.0000  0.0001  0.0000 -0.0001  1.7616  1.7738
 1.7734  0.0255  0.0000  0.0002  0.0000 -0.0001  1.7608  1.7734
 1.7729  0.0265  0.0000  0.0002  0.0000 -0.0001  1.7598  1.7729
 1.7724  0.0276  0.0000  0.0002  0.0000 -0.0001  1.7588  1.7724
 1.7718  0.0287  0.0000  0.0002  0.0000 -0.0001  1.7576  1.7718
 1.7712  0.0300  0.0000  0.0002  0.0000 -0.0001  1.7564  1.7712
 1.7706  0.0313  0.0000  0.0002  0.0000 -0.0001  1.7551  1.7706
 1.7699  0.0327  0.0000  0.0003  0.0000 -0.0002  1.7537  1.7699
 1.7691  0.0343  0.0000  0.0003  0.0000 -0.0002  1.7522  1.7691
 1.7683  0.0359  0.0000  0.0003  0.0000 -0.0002  1.7506  1.7683
 1.7674  0.0376  0.0000  0.0003  0.0000 -0.0002  1.7489  1.7674
 1.7665  0.0394  0.0000  0.0003  0.0000 -0.0002  1.7471  1.7665
 1.7655  0.0414  0.0000  0.0004  0.0000 -0.0002  1.7452  1.7655
 1.7644  0.0434  0.0000  0.0004  0.0000 -0.0002  1.7432  1.7644
 1.7633  0.0455  0.0000  0.0004  0.0000 -0.0002  1.7410  1.7633
 1.7621  0.0478  0.0000  0.0004  0.0000 -0.0002  1.7387  1.7621
 1.7609  0.0502  0.0000  0.0004  0.0000 -0.0002  1.7363  1.7609
 1.7595  0.0527  0.0000  0.0005  0.0000 -0.0003  1.7338  1.7595
 1.7581  0.0554  0.0000  0.0005  0.0000 -0.0003  1.7311  1.7581
 1.7566  0.0581  0.0000  0.0005  0.0000 -0.0003  1.7283  1.7566
 1.7551  0.0610  0.0000  0.0005  0.0000 -0.0003  1.7254  1.7551
 1.7534  0.0641  0.0000  0.0006  0.0000 -0.0003  1.7223  1.7534
 1.7517  0.0672  0.0000  0.0006  0.0000 -0.0003  1.7191  1.7517
 1.7500  0.0705  0.0000  0.0006  0.0000 -0.0003  1.7158  1.7500
 1.7481  0.0740  0.0000  0.0007  0.0000 -0.0003  1.7123  1.7481
 1.7462  0.0776  0.0000  0.0007  0.0000 -0.0003  1.7087  1.7462
 1.7442  0.0813  0.0000  0.0007  0.0000 -0.0003  1.7050  1.7442
 1.7421  0.0851  0.0000  0.0008  0.0000 -0.0004  1.7011  1.7421
 1.7400  0.0892  0.0000  0.0008  0.0000 -0.0004  1.6971  1.7400
 1.7378  0.0933  0.0000  0.0008  0.0000 -0.0004  1.6930  1.7378
 1.7355  0.0976  0.0000  0.0008  0.0000 -0.0004  1.6888  1.7355
 1.7332  0.1020  0.0000  0.0009  0.0000 -0.0004  1.6845  1.7332
 1.7308  0.1066  0.0000  0.0009  0.0000 -0.0004  1.6801  1.7308
 1.7284  0.1113  0.0000  0.0009  0.0000 -0.0004  1.6756  1.7284
 1.7260  0.1161  0.0000  0.0010  0.0000 -0.0004  1.6709  1.7260
 1.7235  0.1211  0.0000  0.0010  0.0000 -0.0004  1.6663  1.7235
 1.7210  0.1262  0.0000  0.0010  0.0000 -0.0004  1.6615  1.7210
 1.7184  0.1314  0.0000  0.0010  0.0000 -0.0004  1.6567  1.7184
 1.7159  0.1367  0.0000  0.0011  0.0000 -0.0004  1.6518  1.7159
 1.7133  0.1421  0.0000  0.0011  0.0000 -0.0004  1.6469  1.7133
 1.7107  0.1476  0.0000  0.0011  0.0000 -0.0004  1.6419  1.7107
 1.7082  0.1533  0.0000  0.0011  0.0000 -0.0004  1.6369  1.7082
 1.7056  0.1590 -0.0000  0.0011  0.0000 -0.0004  1.6319  1.7056
 1.7031  0.1648 -0.0000  0.0012  0.0000 -0.0004  1.6269  1.7031
 1.7005  0.1707 -0.0000  0.0012  0.0000 -0.0004  1.6220  1.7005
 1.6980  0.1766  0.0000  0.0012 -0.0000 -0.0004  1.6170  1.6980
 1.6956  0.1826 -0.0000  0.0012 -0.0000 -0.0004  1.6120  1.6956
 1.6931  0.1887  0.0000  0.0012 -0.0000 -0.0004  1.6071  1.6931
 1.6907  0.1948 -0.0000  0.0012 -0.0000 -0.0004  1.6023  1.6908
 1.6883  0.2009  0.0000  0.0012 -0.0000 -0.0004  1.5973  1.6883
 1.6862  0.2071 -0.0001  0.0012 -0.0000 -0.0004  1.5928  1.6862
 1.6838  0.2118 -0.0001  0.0012 -0.0000 -0.0003  1.5886  1.6839
