Path along x-axis
     Tx      Ty      Tz     Txy     Tyz     Txz  TMises    TInt
 1.7437  0.0003  0.0001  0.0010 -0.0000  0.0000  1.7435  1.7437
 1.7437  0.0003  0.0001  0.0020 -0.0000  0.0000  1.7435  1.7436
 1.7436  0.0003  0.0001  0.0040 -0.0000  0.0000  1.7435  1.7436
 1.7436  0.0003  0.0001  0.0060 -0.0000  0.0000  1.7434  1.7435
 1.7434  0.0004  0.0001  0.0081 -0.0000  0.0000  1.7433  1.7434
 1.7433  0.0004  0.0001  0.0101 -0.0000  0.0000  1.7432  1.7433
 1.7431  0.0004  0.0001  0.0122 -0.0000  0.0000  1.7430  1.7431
 1.7429  0.0005  0.0001  0.0144 -0.0000  0.0000  1.7428  1.7430
 1.7426  0.0005  0.0001  0.0165 -0.0000  0.0000  1.7426  1.7427
 1.7424  0.0006  0.0001  0.0187 -0.0000  0.0000  1.7424  1.7425
 1.7420  0.0006  0.0001  0.0210 -0.0000  0.0000  1.7421  1.7422
 1.7417  0.0007  0.0001  0.0233 -0.0000  0.0000  1.7418  1.7420
 1.7413  0.0008  0.0001  0.0257 -0.0000  0.0000  1.7415  1.7417
 1.7409  0.0009  0.0001  0.0282 -0.0000  0.0000  1.7412  1.7413
 1.7405  0.0010  0.0001  0.0307 -0.0000  0.0000  1.7408  1.7410
 1.7400  0.0011  0.0001  0.0334 -0.0000  0.0000  1.7404  1.7406
 1.7395  0.0012  0.0001  0.0361 -0.0000  0.0000  1.7400  1.7402
 1.7390  0.0013  0.0001  0.0389 -0.0000  0.0000  1.7396  1.7398
 1.7385  0.0015  0.0001  0.0419 -0.0000  0.0000  1.7392  1.7394
 1.7379  0.0017  0.0001  0.0449 -0.0000  0.0000  1.7388  1.7390
 1.7373  0.0018  0.0001  0.0481 -0.0000  0.0000  1.7383  1.7385
 1.7367  0.0021  0.0001  0.0514 -0.0000  0.0000  1.7379  1.7381
 1.7360  0.0023  0.0001  0.0548 -0.0000  0.0000  1.7374  1.7377
 1.7354  0.0026  0.0001  0.0584 -0.0000  0.0000  1.7370  1.7372
 1.7347  0.0028  0.0001  0.0622 -0.0000  0.0000  1.7365  1.7368
 1.7340  0.0032  0.0001  0.0661 -0.0000  0.0000  1.7361  1.7364
 1.7332  0.0035  0.0001  0.0702 -0.0000  0.0000  1.7357  1.7360
 1.7325  0.0039  0.0001  0.0745 -0.0000  0.0000  1.7353  1.7356
 1.7317  0.0043  0.0001  0.0790 -0.0000  0.0000  1.7349  1.7352
 1.7310  0.0048  0.0001  0.0837 -0.0000  0.0000  1.7346  1.7349
 1.7302  0.0054  0.0001  0.0887 -0.0000  0.0000  1.7343  1.7346
 1.7294  0.0059  0.0001  0.0939 -0.0000  0.0000  1.7340  1.7344
 1.7286  0.0066  0.0001  0.0993 -0.0001  0.0000  1.7338  1.7342
