Path along radial path
        Tx         Ty         Tz        Txy        Tyz        Txz     TMises       TInt
   -1.0221     4.2728     0.0923     0.0000     0.0000     0.0000     4.8351     5.2950
   -0.9073     3.8226     0.1699     0.0000     0.0000     0.0000     4.2939     4.7300
   -0.8058     3.2529     0.1928     0.0000     0.0000    -0.0000     3.6629     4.0587
   -0.7157     2.8162     0.2135     0.0000     0.0000    -0.0000     3.1711     3.5319
   -0.6352     2.4746     0.2319     0.0000     0.0000    -0.0000     2.7796     3.1099
   -0.5630     2.2026     0.2484     0.0000     0.0000     0.0000     2.4623     2.7656
   -0.4978     1.9825     0.2631     0.0000    -0.0000    -0.0000     2.2009     2.4804
   -0.4388     1.8019     0.2761     0.0000    -0.0000     0.0000     1.9824     2.2407
   -0.3852     1.6517     0.2877     0.0000     0.0000     0.0000     1.7975     2.0369
   -0.3363     1.5254     0.2980     0.0000    -0.0000     0.0000     1.6394     1.8617
   -0.2916     1.4181     0.3070     0.0000    -0.0000    -0.0000     1.5027     1.7097
   -0.2507     1.3261     0.3151     0.0000    -0.0000     0.0000     1.3835     1.5768
   -0.2131     1.2465     0.3222     0.0000     0.0000     0.0000     1.2789     1.4596
   -0.1785     1.1771     0.3285     0.0000     0.0000     0.0000     1.1864     1.3556
   -0.1466     1.1162     0.3341     0.0000     0.0000    -0.0000     1.1040     1.2628
   -0.1172     1.0625     0.3391     0.0000    -0.0000     0.0000     1.0303     1.1796
   -0.0899     1.0147     0.3435     0.0000     0.0000    -0.0000     0.9640     1.1047
   -0.0647     0.9721     0.3474     0.0000    -0.0000    -0.0000     0.9042     1.0368
   -0.0413     0.9339     0.3509     0.0000    -0.0000    -0.0000     0.8499     0.9751
   -0.0195     0.8994     0.3540     0.0000     0.0000    -0.0000     0.8004     0.9189
   -0.0066     0.8777     0.3584     0.0000    -0.0000    -0.0000     0.7696     0.8842
