Path along y-axis
     Tx      Ty      Tz     Txy     Tyz     Txz  TMises    TInt
 1.6838  0.2118 -0.0001  0.0012 -0.0000 -0.0003  1.5886  1.6839
 1.6838  0.2118 -0.0001  0.0057 -0.0000 -0.0003  1.5886  1.6839
 1.6838  0.2118 -0.0001  0.0114 -0.0000 -0.0003  1.5886  1.6839
 1.6837  0.2119 -0.0001  0.0171 -0.0000 -0.0003  1.5887  1.6840
 1.6836  0.2121 -0.0001  0.0228 -0.0000 -0.0003  1.5888  1.6841
 1.6836  0.2122 -0.0001  0.0285 -0.0000 -0.0003  1.5889  1.6842
 1.6835  0.2124 -0.0001  0.0342 -0.0000 -0.0003  1.5891  1.6843
 1.6833  0.2126 -0.0001  0.0400 -0.0000 -0.0003  1.5893  1.6845
 1.6832  0.2129 -0.0001  0.0458 -0.0000 -0.0003  1.5895  1.6847
 1.6830  0.2132 -0.0001  0.0516 -0.0000 -0.0003  1.5898  1.6849
 1.6829  0.2136 -0.0001  0.0574 -0.0000 -0.0003  1.5900  1.6852
 1.6827  0.2140 -0.0001  0.0633 -0.0000 -0.0004  1.5904  1.6855
 1.6824  0.2144 -0.0001  0.0692 -0.0000 -0.0004  1.5907  1.6858
 1.6822  0.2149 -0.0001  0.0752 -0.0000 -0.0004  1.5911  1.6861
 1.6819  0.2154 -0.0001  0.0812 -0.0000 -0.0004  1.5915  1.6865
 1.6816  0.2159 -0.0001  0.0873 -0.0000 -0.0004  1.5920  1.6869
 1.6813  0.2165 -0.0001  0.0934 -0.0000 -0.0004  1.5925  1.6874
 1.6810  0.2172 -0.0001  0.0996 -0.0000 -0.0004  1.5931  1.6879
 1.6807  0.2179 -0.0001  0.1058 -0.0000 -0.0004  1.5936  1.6884
 1.6803  0.2187 -0.0001  0.1122 -0.0000 -0.0004  1.5943  1.6890
 1.6799  0.2195 -0.0001  0.1186 -0.0000 -0.0004  1.5950  1.6896
 1.6795  0.2203 -0.0001  0.1251 -0.0000 -0.0004  1.5957  1.6902
 1.6791  0.2213 -0.0001  0.1317 -0.0000 -0.0004  1.5965  1.6910
 1.6786  0.2223 -0.0001  0.1383 -0.0000 -0.0004  1.5974  1.6917
 1.6781  0.2233 -0.0001  0.1451 -0.0000 -0.0004  1.5983  1.6926
 1.6776  0.2244 -0.0001  0.1520 -0.0000 -0.0004  1.5993  1.6935
 1.6771  0.2256 -0.0001  0.1590 -0.0000 -0.0004  1.6004  1.6944
 1.6766  0.2269 -0.0001  0.1662 -0.0000 -0.0004  1.6015  1.6954
 1.6760  0.2283 -0.0001  0.1734 -0.0000 -0.0004  1.6028  1.6966
 1.6754  0.2297 -0.0001  0.1809 -0.0000 -0.0005  1.6041  1.6977
 1.6747  0.2313 -0.0001  0.1884 -0.0000 -0.0005  1.6055  1.6990
 1.6741  0.2329 -0.0001  0.1962 -0.0000 -0.0005  1.6070  1.7004
 1.6734  0.2347 -0.0001  0.2041 -0.0001 -0.0005  1.6087  1.7019
 1.6727  0.2365 -0.0001  0.2122 -0.0001 -0.0005  1.6104  1.7035
 1.6719  0.2385 -0.0001  0.2206 -0.0001 -0.0005  1.6123  1.7052
 1.6711  0.2407 -0.0001  0.2291 -0.0001 -0.0005  1.6143  1.7070
 1.6703  0.2429 -0.0001  0.2379 -0.0001 -0.0005  1.6165  1.7090
 1.6695  0.2454 -0.0001  0.2470 -0.0001 -0.0006  1.6189  1.7112
 1.6686  0.2480 -0.0001  0.2563 -0.0001 -0.0006  1.6215  1.7135
 1.6677  0.2508 -0.0001  0.2660 -0.0001 -0.0006  1.6243  1.7161
 1.6667  0.2538 -0.0001  0.2760 -0.0001 -0.0006  1.6273  1.7188
 1.6657  0.2570 -0.0001  0.2863 -0.0001 -0.0006  1.6306  1.7218
 1.6647  0.2605 -0.0001  0.2971 -0.0001 -0.0007  1.6342  1.7251
 1.6636  0.2642 -0.0001  0.3083 -0.0001 -0.0007  1.6381  1.7287
 1.6626  0.2683 -0.0001  0.3199 -0.0001 -0.0007  1.6423  1.7326
 1.6614  0.2727 -0.0001  0.3321 -0.0001 -0.0008  1.6470  1.7369
 1.6602  0.2776 -0.0001  0.3449 -0.0002 -0.0008  1.6522  1.7416
 1.6590  0.2828 -0.0001  0.3583 -0.0002 -0.0008  1.6579  1.7469
 1.6578  0.2886 -0.0002  0.3725 -0.0002 -0.0009  1.6643  1.7527
 1.6565  0.2950 -0.0002  0.3876 -0.0002 -0.0010  1.6713  1.7593
 1.6552  0.3020 -0.0002  0.4035 -0.0002 -0.0010  1.6793  1.7666
 1.6539  0.3098 -0.0002  0.4206 -0.0003 -0.0011  1.6882  1.7748
 1.6526  0.3186 -0.0002  0.4389 -0.0003 -0.0012  1.6983  1.7842
 1.6513  0.3285 -0.0002  0.4587 -0.0003 -0.0013  1.7099  1.7949
 1.6499  0.3397 -0.0002  0.4802 -0.0004 -0.0014  1.7232  1.8073
 1.6487  0.3526 -0.0002  0.5039 -0.0004 -0.0015  1.7388  1.8218
 1.6475  0.3676 -0.0001  0.5301 -0.0005 -0.0017  1.7571  1.8387
 1.6468  0.3853 -0.0002  0.5597 -0.0006 -0.0020  1.7793  1.8595
 1.6459  0.4066 -0.0000  0.5933 -0.0008 -0.0022  1.8058  1.8841
 1.6468  0.4330 -0.0001  0.6328 -0.0010 -0.0027  1.8406  1.9168
 1.6464  0.4660  0.0005  0.6794 -0.0013 -0.0031  1.8827  1.9557
 1.6535  0.5112 -0.0000  0.7394 -0.0018 -0.0044  1.9469  2.0167
 1.6563  0.5730  0.0030  0.8146 -0.0027 -0.0052  2.0265  2.0899
 1.7048  0.6800  0.0021  0.9379 -0.0056 -0.0102  2.2008  2.2591
 1.7322  0.7881 -0.0118  1.0729 -0.0070 -0.0127  2.3959  2.4442
