Path along radial path
        Tr         Tt         Tz        Trt        Ttz        Trz     TMises       TInt
   -1.0155     4.0687     0.5528     0.0000     0.0000    -0.0000     4.5095     5.0842
   -0.9256     3.7401     0.5748     0.0000     0.0000     0.0000     4.1254     4.6656
   -0.8344     3.3000     0.5403     0.0000     0.0000     0.0000     3.6468     4.1344
   -0.7508     2.9444     0.5157     0.0000    -0.0000    -0.0000     3.2525     3.6952
   -0.6740     2.6531     0.4982     0.0000     0.0000    -0.0000     2.9230     3.3271
   -0.6034     2.4114     0.4856     0.0000     0.0000     0.0000     2.6442     3.0148
   -0.5383     2.2087     0.4766     0.0000     0.0000     0.0000     2.4059     2.7470
   -0.4782     2.0370     0.4702     0.0000     0.0000     0.0000     2.2000     2.5152
   -0.4227     1.8901     0.4656     0.0000     0.0000    -0.0000     2.0208     2.3128
   -0.3714     1.7635     0.4624     0.0000     0.0000    -0.0000     1.8636     2.1349
   -0.3239     1.6535     0.4602     0.0000    -0.0000     0.0000     1.7246     1.9774
   -0.2799     1.5573     0.4587     0.0000    -0.0000     0.0000     1.6012     1.8372
   -0.2390     1.4726     0.4577     0.0000     0.0000     0.0000     1.4908     1.7116
   -0.2011     1.3977     0.4571     0.0000     0.0000    -0.0000     1.3918     1.5988
   -0.1658     1.3311     0.4567     0.0000     0.0000     0.0000     1.3024     1.4969
   -0.1330     1.2715     0.4566     0.0000     0.0000     0.0000     1.2215     1.4045
   -0.1024     1.2180     0.4566     0.0000    -0.0000    -0.0000     1.1480     1.3204
   -0.0738     1.1698     0.4567     0.0000    -0.0000    -0.0000     1.0809     1.2436
   -0.0472     1.1262     0.4569     0.0000    -0.0000    -0.0000     1.0195     1.1734
   -0.0223     1.0866     0.4571     0.0000    -0.0000    -0.0000     0.9633     1.1089
   -0.0075     1.0617     0.4604     0.0000    -0.0000     0.0000     0.9283     1.0692
